Código,Nome,Enderezo,Concello,Provincia,Cód. postal,Teléfono,Tipo de centro,COORDENADA_X,COORDENADA_Y,TITULARIDADE,ENSINO_CONCERTADO,DEPENDENTE
32016716,ESMU Municipal do Carballiño,Praza Maior 1,O Carballiño,Ourense,32500,988530007,ESMU,42.43009567260742,-8.077966690063477,Pública,Non,Non
32016728,CPR Plurilingüe Luís Vives,Rúa AIRA DE FONSILLÓN 4,Ourense,Ourense,32005,988242000,CPR,42.32304382324219,-7.876231670379639,Privada,Si,Non
32016731,CPR Malvedo,O Malvedo,Coles,Ourense,32950,988204070,CPR,42.38240432739258,-7.848147869110107,Privada,Si,Non
32016753,EMUSPR Bieito Blanco,Rúa Fonte do Bispo s/n,Ourense,Ourense,32002,988246799,EMUSPR,42.337486267089844,-7.870813846588135,Privada,Non,Non
32016765,CIFP Portovello,Rúa Luís Trabazos (As Lagoas) 1,Ourense,Ourense,32004,988788901,CIFP,42.34624481201172,-7.858225822448731,Pública,Non,Si
32016777,IES Carlos Casares,Estrada da Rúa 104,Viana do Bolo,Ourense,32550,988788594,IES,42.18817901611328,-7.103347778320313,Pública,Non,Si
32016789,CEIP Filomena Dato,Rúa do Ensino 4,Barbadás,Ourense,32890,988244869,CEIP,42.318145751953125,-7.880269527435303,Pública,Non,Si
32016790,IES Castro de Baronceli,Rúa CAMIÑO TUELAS 9,Verín,Ourense,32600,988788339,IES,41.92610549926758,-7.440474510192871,Pública,Non,Si
32020604,CPR Los Tilos,Rúa Alfredo Brañas 62,Ourense,Ourense,32001,988210168,CPR,42.35374450683594,-7.856142044067383,Privada,Non,Non
32020628,CRA Amencer,Ventosela,Ribadavia,Ourense,32415,988472089,CRA,42.302894592285156,-8.123392105102539,Pública,Non,Si
32020631,CPR Pablo VI Fátima,Rúa Pablo VI 6,A Rúa,Ourense,32350,988310050,CPR,42.390071868896484,-7.126529693603516,Privada,Si,Non
32020653,CEMU Profesional Acordes,"Praza  Don Bosco, 1 00",Ourense,Ourense,32001,,CEMU,42.34310531616211,-7.868431568145752,Privada,Non,Non
32020665,CPR GAP,"REZA, 3",Ourense,Ourense,32003,988366063,CPR,42.337650299072266,-7.866404056549072,Privada,Non,Non
32020720,CPR Plurilingüe Miraflores,Urbanización MONTE ALEGRE,O Pereiro de Aguiar,Ourense,32710,988256018,CPR,42.33161544799805,-7.814700603485107,Privada,Si,Non
32020732,ESMU Municipal de san Cibrao das Viñas,Praza DA CONSTITUCIÓN 2,San Cibrao das Viñas,Ourense,32911,,ESMU,42.2983512878418,-7.87395715713501,Pública,Non,Non
32020744,CIFP Santa María de Europa,Praza da Lexión 16,Ourense,Ourense,32002,988788630,CIFP,42.33113098144531,-7.873581886291504,Pública,Non,Non
32020768,ESMU Municipal do Barco de Valdeorras,Rúa Estación 2,O Barco de Valdeorras,Ourense,32300,-,ESMU,42.41550827026367,-6.985620498657227,Pública,Non,Non
32020771,EPAPU de Pereiro de Aguiar,Lugar CARTERÍA DA DERRASA s/n,O Pereiro de Aguiar,Ourense,32710,988405590,EPAPU,42.3008918762207,-7.753851890563965,Pública,Non,Si
32020781,CEIP Plurilingüe O Ruxidoiro,Lugar Lamas-O Ruxidoiro,Barbadás,Ourense,32920,988392838,CEIP,42.31125259399414,-7.886252403259277,Pública,Non,Si
32020793,CPR ART Ourense,Rúa Progreso 34,Ourense,Ourense,32005,988240352,CPR,42.330604553222656,-7.862472057342529,Privada,Non,Non
32020801,CRA de Monterrei,Rúa Progreso 112 baixo,Monterrei,Ourense,32618,988788106,CRA,41.95116424560547,-7.496688365936279,Pública,Non,Si
32020823,CEEPR Ilustre Mestre,Rúa PUGA s/n,Ourense,Ourense,32005,988219389,CEEPR,42.326969146728516,-7.858335971832275,Privada,Si,Non
32020835,CAD Safe Formación,Avenida de Buenos Aires 40 baixo,Ourense,Ourense,32004,,CAD,42.3414192199707,-7.860780239105225,Privada,Non,Non
32020847,EMUSPR Mestre Veneroni,Rúa Redondela (Casa da Cultura) s/n,Ribadavia,Ourense,32800,,EMUSPR,42.28561782836914,-8.145407676696777,Privada,Non,Non
32020859,EMUSPR EMBC,Auditorio Municipal Ilduara Celanova. R/ Cercado  -2,Celanova,Ourense,32800,630821662,EMUSPR,42.1521475496605,-7.954478085041045,Privada,Non,Non
32020860,CPR Litocentro,Avenida Habana 27 Baixo,Ourense,Ourense,32003,988370085,CPR,42.34304428100586,-7.865081787109375,Privada,Non,Non
32020872,CAD Escune,Praza Don Bosco 1,Ourense,Ourense,32003,,CAD,42.3441276550293,-7.866852760314941,Privada,Non,Non
32020884,CEMU Profesional Cantiga,Rúa Bedoya 9,Ourense,Ourense,32004,630773232,CEMU,42.34029006958008,-7.861639499664307,Privada,Non,Non
32020896,CAD Cented,Estrada do Seminario 18,Ourense,Ourense,32002,,CAD,42.33293914794922,-7.815402507781982,Privada,Non,Non
32020902,EMUSPR da Limia,Rúa Ladeira 8,Xinzo de Limia,Ourense,32630,,EMUSPR,42.06062698364258,-7.724223613739014,Privada,Non,Non
32020914,CPR Big Formación,"Parque Tecnolóxico de Galicia, Edificio CEI  3º",San Cibrao das Viñas,Ourense,32911,654825395,CPR,42.295570373535156,-7.800403594970703,Privada,Non,Non
32020926,ESMU do Concello de Coles,Lugar de Vilarchao s/n,Coles,Ourense,32152,,ESMU,42.4116325378418,-7.840214729309082,Pública,Non,Non
